"U:0","U:1","U:2","Points:0","Points:1","Points:2"
36.7028,-0.000665332,0.00807636,-0.00179253,0.078,0.09
36.7027,-0.00145445,0.00404941,-0.004,0.078,0.09
36.7032,-0.00158362,0.00800659,-0.00179273,0.0802124,0.09
36.7,0,0,-0.004,0.0802154,0.09
36.7054,-0.00162179,0.0133986,0.000415146,0.078,0.09
36.7056,-0.00351391,0.0133431,0.000414756,0.0802094,0.09
36.7091,-0.00467849,0.0202303,0.0026234,0.078,0.09
36.7084,-0.00868724,0.0204068,0.00262279,0.0802052,0.09
36.7143,-0.00320738,0.0272452,0.00485151,0.078,0.09
36.713,-0.00666933,0.0272892,0.00484889,0.0802043,0.09
36.718,-0.00398982,0.0331838,0.00707953,0.078,0.09
36.7188,-0.00876958,0.0332872,0.00707527,0.0802066,0.09
36.7221,-0.00734276,0.0418131,0.00930693,0.078,0.09
36.7245,-0.0141712,0.0416318,0.00929854,0.0802069,0.09
36.742,-0.00965081,0.0455429,0.0115248,0.078,0.09
36.7399,-0.0182049,0.0459881,0.0115174,0.0802058,0.09
36.7511,-0.0079797,0.0527319,0.0137426,0.078,0.09
36.7484,-0.0167847,0.0531226,0.0137357,0.0802052,0.09
36.7543,-0.00630497,0.0610033,0.0159604,0.078,0.09
36.7569,-0.0141857,0.0607211,0.0159552,0.0802041,0.09
36.7695,-0.0139268,0.0670925,0.0181782,0.078,0.09
36.7726,-0.0265021,0.0672923,0.0181739,0.0802035,0.09
36.7985,-0.0167737,0.0740525,0.020396,0.078,0.09
36.795,-0.0322227,0.0745986,0.0203919,0.0802032,0.09
36.8156,-0.0100199,0.0779178,0.0226139,0.078,0.09
36.8111,-0.0218062,0.0785018,0.0226096,0.0802031,0.09
36.8207,-0.00989998,0.0886585,0.0248317,0.078,0.09
36.8252,-0.0217375,0.0884538,0.0248274,0.0802029,0.09
36.8446,-0.0203987,0.0951547,0.0270495,0.078,0.09
36.8495,-0.0389883,0.0953315,0.0270452,0.0802027,0.09
36.8834,-0.0236135,0.0996251,0.0292673,0.078,0.09
36.878,-0.0449783,0.100624,0.0292629,0.0802026,0.09
36.9101,-0.0115778,0.103667,0.0314851,0.078,0.09
36.9043,-0.0262811,0.103956,0.0314807,0.0802024,0.09
36.9115,-0.0122535,0.111478,0.033703,0.078,0.09
36.9177,-0.0272433,0.111642,0.0336985,0.0802023,0.09
36.9406,-0.027519,0.121719,0.0359208,0.078,0.09
36.9479,-0.0522107,0.122138,0.0359162,0.0802021,0.09
37.0007,-0.0285472,0.120622,0.0381386,0.078,0.09
36.9941,-0.0547691,0.121469,0.038134,0.080202,0.09
37.021,-0.0137849,0.123455,0.0403564,0.078,0.09
37.0137,-0.0307368,0.123928,0.0403518,0.0802019,0.09
37.0268,-0.0131689,0.13292,0.0425743,0.078,0.09
37.034,-0.0303221,0.133224,0.0425696,0.0802018,0.09
37.0643,-0.0323102,0.138776,0.0447921,0.078,0.09
37.0736,-0.0623898,0.139818,0.0447874,0.0802017,0.09
37.1245,-0.0326219,0.139611,0.0470099,0.078,0.09
37.1195,-0.061807,0.140135,0.0470052,0.0802016,0.09
37.1543,-0.0149001,0.138068,0.0492277,0.078,0.09
37.1452,-0.0322626,0.13853,0.049223,0.0802015,0.09
37.1591,-0.0144673,0.148011,0.0514455,0.078,0.09
37.1652,-0.0335339,0.149105,0.0514408,0.0802015,0.09
37.1963,-0.0308009,0.153737,0.0536634,0.078,0.09
37.2085,-0.061633,0.154788,0.0536586,0.0802014,0.09
37.2554,-0.0337778,0.150561,0.0558812,0.078,0.09
37.2537,-0.0630612,0.150963,0.0558765,0.0802014,0.09
37.2893,-0.0181004,0.150091,0.058099,0.078,0.09
37.2793,-0.0353294,0.150505,0.0580953,0.0802011,0.09
37.295,-0.0127562,0.156572,0.0603168,0.078,0.09
37.2973,-0.0314601,0.158141,0.0603169,0.0802006,0.09
37.321,-0.0227862,0.160382,0.0625347,0.078,0.09
37.3347,-0.049438,0.161578,0.0625357,0.0802006,0.09
37.3711,-0.030482,0.156542,0.0647525,0.078,0.09
37.3754,-0.0555437,0.156416,0.0647537,0.0802006,0.09
37.4006,-0.0225865,0.155055,0.0669703,0.078,0.09
37.3916,-0.0403798,0.155474,0.0669715,0.0802007,0.09
37.4174,-0.0090295,0.158256,0.0691881,0.078,0.09
37.4137,-0.0247444,0.160119,0.0691893,0.0802007,0.09
37.426,-0.0102868,0.156382,0.0714059,0.078,0.09
37.4383,-0.0279401,0.157534,0.0714071,0.0802008,0.09
37.4414,-0.0235618,0.156478,0.0736238,0.078,0.09
37.4529,-0.0418718,0.15639,0.0736249,0.0802009,0.09
37.4829,-0.0257428,0.155206,0.0758416,0.078,0.09
37.4776,-0.0433858,0.155927,0.0758428,0.080201,0.09
37.5021,-0.00756422,0.152194,0.0780594,0.078,0.09
37.4941,-0.0197154,0.153877,0.0780606,0.0802011,0.09
37.4932,0.00242542,0.148543,0.0802772,0.078,0.09
